                                                               Chittenden County MPO
                                                                       30 Kimball Ave.
                                                               South Burlington, Vermont 05403
BURL_S03 AGGREGATE                                                 http://www.ccmpo.org/                                                           File Name       : burl_s03
Plattsburg Ave. & VT 127                                                                                                                           Site Code       : S03
Colchester, Vermont / Sunny                                                                                                                        Start Date      : 7/10/2008
JW EP JS CB                                                                                                                                        Page No         :1


                                                                Groups Printed- Cars - Trucks - Busses
                                VT127 (SB)                                         VT127 (NB)                                 Plattsburg Ave.
                                 From North                                        From South                                   From West
         Start Time    Right   Thru    Ped/Bike   App. Total       Thru           Left     Ped/Bike      App. Total   Right    Left     Ped/Bike      App. Total      Int. Total
          07:00 AM        42      69          0         111          10               1            0            11       35      39            0             74             196
          07:15 AM        38    108           0         146          14             14             0            28       35      60            0             95             269
          07:30 AM        33    117           0         150          14               9            0            23       52      51            0            103             276
          07:45 AM        51    141           2         194          27             16             0            43       45      65            0            110             347
               Total    164     435           2         601          65             40             0           105     167     215             0            382            1088

          08:00 AM       48      92          0          140           22            13             0            35      44      39            1              84            259
          08:15 AM       48     109          0          157           30            15             0            45      28      41            0              69            271
          08:30 AM       47      90          0          137           33            11             0            44      40      40            0              80            261
          08:45 AM       48      75          0          123           27            14             0            41      22      54            1              77            241
              Total     191     366          0          557          112            53             0           165     134     174            2             310           1032

          04:00 PM       65      48          0          113           83           37              0           120      15      77            2              94            327
          04:15 PM       59      58          0          117           95           49              0           144       9      79            0              88            349
          04:30 PM       75      60          0          135           98           33              0           131      15      70            3              88            354
          04:45 PM       85      58          0          143          133           51              0           184      19      85            0             104            431
              Total     284     224          0          508          409          170              0           579      58     311            5             374           1461

          05:00 PM       73      57          0          130          142           52              0           194      16      87            0             103            427
          05:15 PM       78      41          0          119          130           42              0           172      26      76            0             102            393
          05:30 PM       78      41          0          119           97           37              0           134       9      82            0              91            344
          05:45 PM       82      41          0          123           76           38              0           114      11      65            0              76            313
              Total     311     180          0          491          445          169              0           614      62     310            0             372           1477

        Grand Total     950    1205           2        2157        1031            432             0          1463     421    1010             7           1438           5058
          Apprch %        44    55.9        0.1                     70.5          29.5             0                  29.3     70.2          0.5
            Total %    18.8     23.8          0         42.6        20.4            8.5            0           28.9     8.3      20          0.1            28.4
               Cars     930    1193           1        2124        1020            425             0          1445     418    1000             0           1418           4987
            % Cars     97.9       99         50         98.5        98.9          98.4             0           98.8   99.3       99            0            98.6           98.6
             Trucks       16       9          1           26           9              5            0             14       2       9            7              18             58
          % Trucks       1.7     0.7         50          1.2         0.9            1.2            0              1     0.5     0.9         100              1.3            1.1
            Busses         4       3          0            7           2              2            0              4       1       1            0               2             13
         % Busses        0.4     0.2          0          0.3         0.2            0.5            0            0.3     0.2     0.1            0             0.1            0.3

