                                                               Chittenden County MPO
                                                                       30 Kimball Ave.
                                                               South Burlington, Vermont 05403
Station ID: COLC06 Truck/Bike                                      http://www.ccmpo.org/                                                       File Name       : COLC06
Location: US Route 7 & Sunderland Woods                                                                                                        Site Code       : 06
Town: Colchester                                                                                                                               Start Date      : 6/19/2008
Counters: CB CD JS                                                                                                                             Page No         :1


                                                                       Groups Printed- Trucks
                              US Route 7 SB                                    US Route 7 NB                             Sunderland Woods
                               From North                                        From South                                  From West
        Start Time    Right   Thru        Bikes   App. Total       Thru          Left       Bikes   App. Total   Right      Left       Bikes      App. Total      Int. Total
         07:00 AM         0      4            0            4          9            0            0            9       1         0           0               1             14
         07:15 AM         0      9            0            9          5            0            0            5       0         0           0               0             14
         07:30 AM         0     11            0          11           8            1            0            9       0         0           0               0             20
         07:45 AM         0      5            0            5          3            0            0            3       0         0           0               0               8
              Total       0     29            0          29          25            1            0          26        1         0           0               1             56

         08:00 AM        0       6           0            6           9            0           0            9       0         0           0               0              15
         08:15 AM        0       3           0            3           6            0           1            7       0         0           0               0              10
         08:30 AM        0       3           0            3           7            0           0            7       0         0           0               0              10
         08:45 AM        0       6           0            6           8            0           0            8       0         0           0               0              14
             Total       0      18           0           18          30            0           1           31       0         0           0               0              49

         09:00 AM        0       2           0            2           6            0           0            6       0         0           0               0               8
         09:15 AM        0       4           0            4           5            0           0            5       1         0           0               1              10
         09:30 AM        0       3           0            3           5            0           2            7       0         0           0               0              10
         09:45 AM        0       1           0            1           3            0           0            3       0         0           0               0               4
             Total       0      10           0           10          19            0           2           21       1         0           0               1              32

         10:00 AM        0       1           0            1           7            0           0            7       0         0           0               0               8
         10:15 AM        0       1           0            1           4            0           0            4       0         0           0               0               5
         10:30 AM        0       2           0            2           4            0           2            6       0         0           0               0               8
         10:45 AM        0       4           0            4           4            0           0            4       0         0           0               0               8
             Total       0       8           0            8          19            0           2           21       0         0           0               0              29

       Grand Total       0      65           0           65          93            1            5          99        2        0           0               2            166
         Apprch %        0     100           0                     93.9            1          5.1                 100         0           0
           Total %       0    39.2           0         39.2          56          0.6            3        59.6      1.2        0           0              1.2

