                                               CITY OF MCALLEN
                                          TRAFFIC OPERATIONS
                   `                  N. 10th St. & W. Hackberry Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH          Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START      01/24/05   START    01/24/05   directional   START    01/24/05   START    01/24/05   directional
       counter    TMWIN    counter TMWIN       totals        counter    TMWIN    counter   TMWIN       totals
 TIME     Thru totals         Thru totals      NB+SB             Thru totals        Thru totals        EB+WB
 0:00         122                 98             220                 21                 46                67
 1:00          92                 64             156                 21                 23                44
 2:00          78                 82             160                 16                 27                43
 3:00          49                 28              77                 7                   9                16
 4:00          26                 32              58                 11                  7                18
 5:00          55                 36              91                 8                  16                24
 6:00         110                 78             188                 40                 43                83
 7:00         456                 330            786                255                302               557
 8:00         567                 548            1115               322                341               663
 9:00         646                 568            1214               250                274               524
 10:00        794                 726            1520               283                294               577
 11:00        886                 916            1802               318                349               667
 12:00        960                 986            1946               400                382               782
 13:00        968                 964            1932               354                360               714
 14:00        976                 927            1903               395                356               751
 15:00       1018                1021            2039               376                518               894
 16:00        937                 932            1869               406                457               863
 17:00        952                 984            1936               462                494               956
 18:00        816                 819            1635               335                362               697
 19:00        678                 684            1362               227                236               463
 20:00        518                 624            1142               148                180               328
 21:00        432                 578            1010               159                146               305
 22:00        345                 422            767                107                130               237
 23:00        245                 268            513                 77                 88               165
TOTAL        12726               12715          25441               4998               5440             10438
TOTAL NB + SB     25441            TOTAL EB + WB              10438       GRAND TOTAL       35879

