                                                   CITY OF MCALLEN
                                               TRAFFIC OPERATIONS
                     `                     S. 15TH St. & W. Houston Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                     BOUND:     EAST       BOUND:      WEST
                                                       Bi-                                                        Bi-
  OF
 DAY   START      10/24/05   START      10/24/05   directional   START      10/24/05   START       10/24/05   directional
       counter    TMWIN      counter    TMWIN        totals      counter     TMWIN     counter     TMWIN        totals
 TIME      Thru totals           Thru totals         NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00           0                    10                10                10                    39                 49        59
 1:00           3                     4                 7                 5                    16                  21       28
 2:00           0                     6                 6                 2                    14                  16       22
 3:00           0                     2                 2                 2                     6                  8        10
 4:00           1                     9                10                 7                     2                  9        19
 5:00           1                     6                 7                13                    12                  25       32
 6:00           2                    29                31                43                    15                 58        89
 7:00           6                    55                61                236                   29                 265       326
 8:00           3                    70                73                184                   154                338       411
 9:00          12                    116               128               168                   159                327       455
 10:00          4                    134               138               198                   160                358       496
 11:00         10                    181               191               243                   185                428       619
 12:00         21                    182               203               242                   202                444       647
 13:00         14                    244               258               210                   201                411       669
 14:00         10                    199               209               193                   226                419       628
 15:00         19                    197               216               267                   200                467       683
 16:00          6                    113               119               254                   216                470       589
 17:00          9                    228               237               233                   186                419       656
 18:00         13                    230               243               212                   218                430       673
 19:00         11                    85                96                143                   156                299       395
 20:00         16                    62                78                117                   130                247       325
 21:00          4                    40                44                72                    80                 152       196
 22:00          1                    15                16                46                    93                 139       155
 23:00          2                    14                16                29                    57                 86        102
TOTAL          168                  2231              2399              3129                  2756               5885
TOTAL NB + SB      2399               TOTAL EB + WB               5885        GRAND TOTAL           8284

