                                              CITY OF MCALLEN
                                          TRAFFIC OPERATIONS
                  `                     S. 23rd St. & W. Sarah Ave.


HOUR BOUND:    NORTH      BOUND:   SOUTH          Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START     12/01/99   START    12/01/99   directional   START    02/21/05   START    02/21/05   directional
       counter ADR 1000 counter ADR 1000    totals          counter    TMWIN   counter   TMWIN        totals
 TIME     Thru totals      Thru totals      NB+SB              Thru totals        Thru totals         EB+WB
 0:00         150              121            271                   16                 0                 16
 1:00         73               87             160                   6                  0                 6
 2:00         49               53             102                   2                  0                 2
 3:00         38               46              84                   3                  0                 3
 4:00         48               21              69                   5                  0                 5
 5:00         134              54             188                   7                  0                 7
 6:00         329              204            533                   34                 0                 34
 7:00         527              506            1033                 118                 0                118
 8:00         450              789            1239                 140                 0                140
 9:00         621              681            1302                  99                 0                99
 10:00        655              646            1301                  64                 0                64
 11:00        754              690            1444                  78                 0                78
 12:00        791              660            1451                  82                 0                82
 13:00        741              666            1407                  73                 0                73
 14:00        763              622            1385                  64                 0                64
 15:00        794              737            1531                 112                 0                112
 16:00        872              748            1620                  88                 0                88
 17:00        935              790            1725                  93                 0                93
 18:00        846              795            1641                  82                 0                82
 19:00        541              572            1113                  76                 0                76
 20:00        438              407            845                   71                 0                 71
 21:00        344              311            655                   60                 0                 60
 22:00        283              305            588                   70                 0                 70
 23:00        219              235            454                   31                 0                 31
TOTAL        11395            10746          22141                1474                 0               1474
TOTAL NB + SB     22141         TOTAL EB + WB                1474       GRAND TOTAL       23615

