                                                CITY OF MCALLEN
                                            TRAFFIC OPERATIONS
                    `                   N. McColl Rd. & W. Violet Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START      02/28/05   START     02/28/05   directional   START    02/28/05   START    02/28/05   directional
       counter     ADA     counter    ADA         totals      counter     ADA    counter     ADA        totals
 TIME     Thru totals         Thru totals         NB+SB          Thru totals        Thru totals         EB+WB
 0:00         116                  85               201               20                10                 30
 1:00          62                  38               100               20                 5                 25
 2:00          64                  36               100               13                 5                 18
 3:00          29                  17               46                6                  4                 10
 4:00          21                  22               43                14                 4                 18
 5:00          73                  62               135               34                 0                 34
 6:00         180                 197               377               91                22                113
 7:00         436                 702              1138              412                98                510
 8:00         800                 929              1729              444               222                666
 9:00         746                 888              1634              304               125                429
 10:00        810                 912              1722              245                92                337
 11:00        844                1090              1934              289                98                387
 12:00        843                1082              1925              340               120                460
 13:00        946                1042              1988              414               121                535
 14:00        881                 970              1851              324               105                429
 15:00        946                1077              2023              332               128                460
 16:00       1024                1074              2098              324               146                470
 17:00       1138                1142              2280              396               176                572
 18:00        743                 817              1560              297               110                407
 19:00        460                 562              1022              212                72                284
 20:00        394                 424               818              123                42                165
 21:00        349                 316               665              107                44                151
 22:00        261                 280               541               79                37                116
 23:00        236                 218               454               53                18                71
TOTAL        12402               13982             26384            4893               1804              6697
TOTAL NB + SB     26384             TOTAL EB + WB              6697       GRAND TOTAL       33081

