                                                   CITY OF MCALLEN
                                                TRAFFIC OPERATIONS
                     `                       S. 26TH St. & W. Elmira Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                      BOUND:     EAST       BOUND:      WEST
  OF                                                     Bi-                                                        Bi-
 DAY   START      07/24/06   START      07/24/06    directional   START      07/24/06   START       07/24/06   directional
       counter    TMWIN      counter    TMWIN          totals     counter     TMWIN     counter     TMWIN         totals
 TIME      Thru totals           Thru totals          NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00           4                     3                 7                 18                     5                 23        30
 1:00           3                     0                 3                 13                     6                 19        22
 2:00           6                     1                 7                  5                     3                  8        15
 3:00           1                     2                 3                  4                     2                  6         9
 4:00           1                     0                 1                  2                     4                  6         7
 5:00           8                     0                 8                  2                     2                  4        12
 6:00          12                     2                 14                 5                    13                 18        32
 7:00          12                     5                 17                18                    22                 40        57
 8:00          18                     4                 22                16                    13                 29        51
 9:00          28                     4                 32                42                    60                102        134
 10:00         20                     2                 22                42                    32                 74        96
 11:00         38                     2                 40                41                    36                 77        117
 12:00         18                     7                 25                58                    41                 99        124
 13:00         28                    10                 38                64                    42                106        144
 14:00         20                    12                 32                54                    39                 93        125
 15:00         28                     8                 36                66                    35                101        137
 16:00         18                     5                 23                59                    55                114        137
 17:00         20                     3                 23                75                    34                109        132
 18:00         18                    11                 29                101                   44                145        174
 19:00         28                    12                 40                87                    44                131        171
 20:00         27                     6                 33                52                    42                 94        127
 21:00         12                     8                 20                37                    24                 61        81
 22:00         10                     2                 12                52                    34                 86        98
 23:00          7                     5                 12                20                    10                 30        42
TOTAL          385                   114               499                933                   642               1575
TOTAL NB + SB       499               TOTAL EB + WB                1575        GRAND TOTAL           2074

