                                         CITY OF MCALLEN
                                       TRAFFIC OPERATIONS
                  `               N. CYNTHIA ST. & W. MARTIN AVE.


HOUR   BOUND:   NORTH   BOUND:   SOUTH                 BOUND:       EAST      BOUND:   WEST
 OF                                           Bi-                                                   Bi-
 DAY   START 04/16/07   START 04/16/07   directional   START       04/16/07   START 04/16/07   directional   All bound
       Counter TMWIN    Counter TMWIN       totals     Counter     TMWIN      Counter TMWIN       totals       totals
 TIME     Thru totals      Thru totals     NB+SB           Thru totals           Thru totals     NB+SB           All
 0:00         14               34             48                27                   31             58           106
 1:00         13               18             31                11                   21             32            63
 2:00         16               35             51                 9                   14             23            74
 3:00         17               14             31                 3                    4              7            38
 4:00          2               14             16                 5                    3              8            24
 5:00          8               13             21                 5                   14             19            40
 6:00         28               20             48                33                   46             79           127
 7:00        156              363            519               201                  205            406           925
 8:00        129              307            436               155                  245            400           836
 9:00        124              211            335               147                  337            484           819
 10:00       180              264            444               163                  221            384           828
 11:00       167              298            465               170                  270            440           905
 12:00       243              302            545               234                  365            599          1144
 13:00       215              358            573               238                  381            619          1192
 14:00       176              378            554               207                  313            520          1074
 15:00       194              444            638               191                  348            539          1177
 16:00       189              473            662               216                  354            570          1232
 17:00       229              511            740               284                  465            749          1489
 18:00       198              450            648               211                  353            564          1212
 19:00       190              278            468               139                  257            396           864
 20:00       142              231            373               127                  235            362           735
 21:00        88              222            310               109                  178            287           597
 22:00        68              170            238                47                  133            180           418
 23:00        41              126            167                53                   88            141           308
TOTAL        2827             5534           8361              2985                 4881           7866
TOTAL NB + SB   8361         TOTAL EB + WB              7866        GRAND TOTAL        16227

